Отбор,Риск,Регион,ID проекта,Проект,Город,Округ,Район,Класс,Девелопер,Застройщик,Плановая дата РВЭ,Стадия реализации,Стадия строительства,Статус графика
активный,мониторинг,Новосибирск,be83687af6b4548cc31305f5124af474,ГАГАРИН СИТИ / GAGARIN CITY,Новосибирск,,Заельцовский,Бизнес,СИТИСТРОЙ,СИТИСТРОЙ,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Новосибирск,2b018be6e3e1721d98ffc16efca7aae6,Фора,Новосибирск,,Калининский,Комфорт,Поляков,Фадеев,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Новосибирск,0f40daa8d2a58509b67ba254bc7f531f,Квартал на Российской,Новосибирск,,Советский,Комфорт,Роснефтегазстрой-Академинвест,РНГС,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Новосибирск,b1b2664a83485a4abd973a903eb88179,Цитатум / Citatum,Новосибирск,,Октябрьский,Комфорт,VIRA,ВИРА НА ГРИБОЕДОВА,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Новосибирск,14d6717ffecf38fd9f577b40dde2cf2c,Ермак,Новосибирск,,Калининский,Комфорт,Дом Ермак,СЕВЕР-СТРОЙ,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Санкт-Петербург,be50a84db105b2cd75fd622c9e271fc2,Империал Клаб / Imperial Club,Санкт-Петербург,,Василеостровский,Премиум,Setl Group,Остров Сити,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Санкт-Петербург,fef74b31acf3632703c84e9ec10fc125,Титул в Московском,Санкт-Петербург,,Московский,Комфорт,Setl Group,Новый элемент,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Санкт-Петербург,749b62d47a3e58213fc0aa8b9967e5ae,Пейзажный квартал,Санкт-Петербург,,Красногвардейский,Эконом,ЛСР,ЛСР. Недвижимость,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Санкт-Петербург,78e1801899692a230f58833566d5be72,Астра Континенталь,Санкт-Петербург,,Невский,Комфорт,Setl Group,СЭТЛ СТАНДАРТ,2026-09-30,Удален,Монтажные и отделочные работы,в графике
активный,мониторинг,Санкт-Петербург,c42e2338b29636a1d27bf9c419a4ad44,Бионика Заповедная,Санкт-Петербург,,Приморский,Комфорт,Setl Group,СЭТЛ РАЗВИТИЕ,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Санкт-Петербург,5d3aa109fafd84b73047338f7b54e1ab,Окла Вижн,Санкт-Петербург,,Приморский,Комфорт,ЛенСтройТрест,ЛСТ ЭКСПЕРТ,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Шушары пос.,96f19a0bbc42babd4f7fb77ce0c9a1e0,Образцовый квартал 16,Шушары пос.,,Пушкинский,Эконом,Центр Развития,Терминал-Ресурс,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Шушары пос.,94ad0977e1b995887405724fa9015a53,Образцовый квартал 17,Шушары пос.,,Пушкинский,Эконом,Центр Развития,Терминал-Ресурс,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Санкт-Петербург,cbcfd4fbe1fa0877eb09c7470b819785,Monodom Art,Санкт-Петербург,,Василеостровский,Бизнес,Sun Development,АЛЬФА,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Санкт-Петербург,e154ec403c6cbe56c77f2821b47114f5,Industrial Avenir,Санкт-Петербург,,Кировский,Комфорт,ПСК,СИНЕРГИЯ ДЕВЕЛОПМЕНТ,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Одинцово,955aa9464a3222e84e57e7148e948259,Одинцово Сити,Одинцово,,Одинцовский г.о.,Комфорт,Атлантис Скай Сити,Атлантис Скай Сити,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,пос. Светлые Горы,52dac51054b22f47fc700c19722e7e3a,Лесная Отрада,пос. Светлые Горы,,Красногорск г.о.,Комфорт,Отрада Девелопмент,Отрада Девелопмент,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Балашиха,f291af0ab49a201a45206655545f504e,Пехра,Балашиха,,Балашиха г.о.,Комфорт,Гранель,Гранель Гамма,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Видное,4cb275d21e3cde81cb8311d5f9e32d86,Резиденция 15 / Rastorguevo Village,Видное,,Ленинский г.о.,Комфорт,VSN Invest,РЕЗИДЕНЦИЯ 15,2026-09-30,Удален,Монтажные и отделочные работы,в графике
активный,мониторинг,Луховицы,13e4fdbacce5102defab59a6fbf6dd6a,"Солнечный / Учебный, 9",Луховицы,,Луховицы г.о.,Комфорт,ТРОЙКА ПЛЮС,ИРИСТОН,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Мытищи,49b7da2b2630a07cf5a98cd85be04aa7,Белый Град / Белый Мыс,Мытищи,,Мытищи г.о.,Комфорт,INGRAD,ФОРТУНА,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Химки,acef1b9f26687423176526237893155d,Новое Вашутино,Химки,,Химки г.о.,Комфорт,Атлант,Стройинтел,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Марьино пос.,7113e25750375d73a596cba5d6fd9363,Детали,Марьино пос.,НАО,Филимонковский,Комфорт,Plus Development,МАРЬИНО,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Мамыри дер.,5c2c53df0bff363d7bf1def4b5be01ac,1-й Ясеневский,Мамыри дер.,НАО,Коммунарка,Комфорт,ФСК / ДСК-1,Щиброво,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,дер. Рогозинино,5acf4e90badbc78178ea8532b272b5b4,Vnukovo Country Club / Vnukovo Tennis Country Club / Vnukovo Sport Village,дер. Рогозинино,НАО,Филимонковский,Бизнес+,КАНТРИ КЛАБ,КАНТРИ КЛАБ,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Саларьево дер.,47673796e59f713acaa81260f63ffe8a,1-й Саларьевский,Саларьево дер.,НАО,Коммунарка,Комфорт,ФСК / ДСК-1,ЮГО-ЗАПАД СТОЛИЦЫ,2026-09-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Спасск-Дальний,1ee386a0ba4e4530ee566a9c06c97234,ЖД по ул. О. Кошевого,Спасск-Дальний,,г.о. Спасск-Дальний,Комфорт,Новатис,НОВАТИС,2026-10-01,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Звенигород,f56718f92f4fbf94eacef74d50f1a515,Портал,Звенигород,,Одинцовский г.о.,Комфорт,ТРОЙКА ПЛЮС,ТРОЙКА ПЛЮС,2026-12-15,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Артём,904defde7df69118ddef1f2b4cde2f83,Тигровый квартал,Артём,,Артёмовский г.о.,Эконом,АРТСТРОЙТОРГ,АРТСТРОЙТОРГ,2026-12-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Новосибирск,d24db22c767f947047f92a99f4385fff,АЭРОН,Новосибирск,,Ленинский,Бизнес,SG Development,ЦЕНТР ЛЕВОГО БЕРЕГА,2026-12-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Находка,24efa1147e29cc337a3d6bab8d5ef985,На Северном проспекте 18,Находка,,Находкинский г.о.,Комфорт,Римэко,Римэко,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Находка,092fd7430986ff93343f887f1f1cf448,Азимут / ЖК по пр-ту Мира,Находка,,Находкинский г.о.,Комфорт,Римэко,ВОСХОД,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Уссурийск,4170d99e8a46b9da5b21ff7c0cd1b88d,Кленовый парк,Уссурийск,,Уссурийский г.о.,Комфорт,ИП­ПЕ­КО ДЕВЕЛОП­МЕНТ,ИППЕКО ДЕВЕЛОПМЕНТ,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Уссурийск,92de6629ef79229d8e341f58d446ec08,Уссури Парк,Уссурийск,,Уссурийский г.о.,Комфорт,Азимут,	Азимут,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Ростов-на-Дону,804e22c2ef821886a51d3be1b64d1d6f,Собрание,Ростов-на-Дону,,Кировский,Элитный,Альянс,АЛЬЯНС ГРУПП,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Ростов-на-Дону,04867779172439a67cdf42c222d94e30,Летний сад,Ростов-на-Дону,,Ленинский,Премиум,MUVA DEVELOPMENT,КОРИФЕЙ,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Ростов-на-Дону,7fe50cdfe1faab90c2c06d0b864d28fa,Клубный дом Парамонов,Ростов-на-Дону,,Кировский,Элитный,Зенит,Зенит,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Ростов-на-Дону,309e667b241e6db3dea9ab1d1f5a44e8,Октябрь Парк,Ростов-на-Дону,,Октябрьский,Комфорт,ССК,РОСТОВСТРОЙ-ДОН,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Ростов-на-Дону,9e066ed832033c65bf665f708a936f77,Космос (Ростов-на-Дону),Ростов-на-Дону,,Кировский,Бизнес-,СК10,СК10 №12,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Ростов-на-Дону,17cacfbc07ce36e030849822d4c42136,Локация 9-11,Ростов-на-Дону,,Пролетарский,Комфорт,МАГНУМ,МАГНУМ,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Ростов-на-Дону,83b7154ad3aa2db651a773f0226972d0,Манхэттен 2.0 Новая высота,Ростов-на-Дону,,Первомайский,Комфорт,НОСТА,МАНХЭТТЕН,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Ростов-на-Дону,e81724fcc96fba923cfc3daa0c659007,Сезоны,Ростов-на-Дону,,Железнодорожный,Комфорт,СК10,КП №4,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Сочи,4ec93b4cec032ce6246fcdbc20381db2,Фазотрон,Сочи,Сочи г.о.,Сочи г.о.,Бизнес,Альпика групп,Рахас Инвест,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Агой с.,77bdd422e70b328c06a31923eddda80c,Агой-Парк,Агой с.,,Туапсинский м.о.,Комфорт,АГОЙ-ПАРК,АГОЙ-ПАРК,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Голубицкая ст-ца,f158b53bd4c44a603ef7f54d61d1f267,Море тут,Голубицкая ст-ца,,Темрюк м.о.,Бизнес,Каскад,ИНВЕСТГРУПП,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Абинск,e92cf7d9a11071504df31616f53a3b3c,Восточный (Абинск),Абинск,,Абинское м.о.,Эконом,Солнечный город,Солнечный город,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Анапа,83e4b77e4c81fe02646c0317f082a5b3,Эден / Eden Family Hotel,Анапа,,Анапа м.о.,Комфорт,Развитие,ЮГСТРОЙЗАКАЗЧИК,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Новороссийск,018074db013670b10cd1d3367521d2a2,Барса,Новороссийск,,Новороссийск м.о.,Бизнес,Точно,МЕГАСТРОЙ,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Анапа,89f537fda6bcc1df310625c68de74f15,Корсаков,Анапа,,Анапа м.о.,Комфорт,ССК,ДОМСТРОЙАНАПА,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Сочи,1ca3f1bfc537b113522f1104d3c9f5e5,Flavium,Сочи,,Сочи г.о.,Элитный,Форт,ЮЖНЫЙ,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Тихорецк,b3ccb1c60914c224f2e4e07d33d020da,Новый город,Тихорецк,,Тихорецкий м.о.,Комфорт,Стройуниверсал,ПРЕМЬЕРСТРОЙ,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Новороссийск,c2600c4dfa1b97ac0b7b06040e1ddaec,Порто-Ново,Новороссийск,,Новороссийск м.о.,Комфорт,DOGMA,ДОГМА ВОДА,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Нижняя Гостагайка х.,45131c4ef8b37326fa1ad3d957bf531d,Усадьба Гостагаевская,Нижняя Гостагайка х.,,Анапа м.о.,Бизнес-,ССК,ССК АНАПА,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Армавир,bcbe2f39504cb084713ca0f161f31273,Кумир,Армавир,,Армавир г.о.,Комфорт,АРТ ГРУПП,ФРОЙДА-Ф,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Сочи,80aa8f1720cf18423a0157bb7bde346c,Резиденция на Соколова,Сочи,Сочи г.о.,Сочи г.о.,Бизнес,ИП Квиквиния Станислав Арониевич,ИП Квиквиния Станислав Арониевич,2026-12-31,В реализации,Реконструкция,в графике
активный,мониторинг,Казань,c50051760644ca59cbff0fd5e611de4f,Нова / NOVA,Казань,,Советский,Бизнес,НоваСтрой,БСП,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Казань,f53ed5596fac99027629ff34ddb8d28a,Фермаполис,Казань,,Приволжский,Комфорт,КОМОССТРОЙ,КС БАРС,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Казань,226f6f5bad0288fef8e630f1350dd8b9,Риваят,Казань,,Вахитовский,Бизнес,КамаСтройИнвест,Конграда,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Казань,278da99bddc72898e63ed481f0bfd957,Терра / Terra,Казань,,Кировский,Комфорт,Бриз,ЗАРЕЧЬЕ,2026-12-31,В реализации,"Получение РВЭ, благоустройство территории",в графике
активный,мониторинг,Казань,7c0477bbecdf8cbc53040b2b0c41d29f,Ноты,Казань,,Вахитовский,Премиум,Маяк-Инвест,ЗАМАН,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Казань,7035a08121b5ff65efd709d186aab15b,Дом на Туфана,Казань,,Московский,Бизнес-,НОВОЕ ЖИЛЬЕ,НОВОЕ ЖИЛЬЕ,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Новосибирск,9a80461dd54fbcef2ac42a6b78af0c3a,Сакура Парк,Новосибирск,,Октябрьский,Комфорт,Расцветай,Астра,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Новосибирск,f267ceeb81cc8e4c47abee331d8bd143,Лофт.Наука,Новосибирск,,Ленинский,Комфорт,Расцветай,ДИАДЕМА,2026-12-31,Удален,Реконструкция,в графике
активный,мониторинг,Новосибирск,47b705855b4caabfe2b870b8eea3c6de,Зелёный город,Новосибирск,,Октябрьский,Комфорт,Первый строительный фонд,СТАТУС,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Новосибирск,827694604de78f4175aa313440b8d157,Гвардия,Новосибирск,,Ленинский,Комфорт,СМСС,ОКРУГ,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Новосибирск,8a1efc7aff0f29ee36067db941268f01,Первый на Титова,Новосибирск,,Ленинский,Эконом,Первый строительный фонд,Альянс,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Екатеринбург,8a8b386ebd7c540af4889b7ac6da7838,"Отдельный, 5",Екатеринбург,Кировский,Втузгородок,Комфорт,МОСТКО,ОТДЕЛЬНЫЙ 5,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Екатеринбург,a5a8440c846ba2d165019b8a6a7b1205,Лето на Титова,Екатеринбург,Чкаловский,Чермет,Комфорт,Лето Девелопмент,ЛЕТО НА ТИТОВА,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Шушары пос.,78980be3e6407354472843fe2f145317,Аэросити Клаб / Аэросити Club,Шушары пос.,,Пушкинский,Эконом,Лидер Групп,СТРОЙ-МАСТЕР,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Санкт-Петербург,62109e9cbb9c090a0205e729f4aeef77,Сампсониевский 32,Санкт-Петербург,,Выборгский,Бизнес,LEGENDA Intelligent Development,ЛЕГЕНДА САМПСОНИЕВСКОГО,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Санкт-Петербург,b0e26cecdf9610273d05a49e13d16510,Ye's Primorsky,Санкт-Петербург,,Приморский,Комфорт,РК-Газсетьсервис,К-25,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Санкт-Петербург,5c1cac6dbba9fff6389739f99238278a,17/33,Санкт-Петербург,,Петроградский,Бизнес+,Element Development,ЭЛЕМЕНТ 1,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Кронштадт,404a209d97cfb3821fe12d8b6c3d80f2,Кронфорт. Центральный,Кронштадт,,Кронштадтский,Бизнес,Алькор,АЛЬКОР-ЦЕНТРАЛЬНЫЙ,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Шушары пос.,39d86e277828527ddd1b01448915b5dc,Пулково Лейк,Шушары пос.,,Пушкинский,Комфорт,ЛСР,СКВ СПб,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Королёв,435d4fe46b7e422da3ce7e46d62b4466,Космический Квартал,Королёв,,Королёв г.о.,Комфорт,Самолет,Самолет-Королев,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Ивантеевка,ccfacd575004b194eeb18d11abe5bdf2,Новая Ивантеевка,Ивантеевка,,Пушкинский г.о.,Комфорт,Профи-Инвест,ЗАВОДСКАЯ-1,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,село Николо-Урюпино,d501319a20ba494167f3a6d406e47588,Аникеевский / Лесобережный,село Николо-Урюпино,,Красногорск г.о.,Комфорт,Гранель,Гранель Город,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Марусино дер.,2c3755447ec8d440c37e184882684e88,Легенда Марусино,Марусино дер.,,Люберцы г.о.,Комфорт,Некрасовка Девелопмент,МАРУСИНО,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,дачный пос. Поварово,7c963d0fd3a3ba9dea42ce0397d4125e,Поварово Молодежный-2,дачный пос. Поварово,,Солнечногорск г.о.,Эконом,Холдинг Агрострой,Стройиндустрия,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Красногорск,e41947f85bba8222b2cdad7515527c2d,Никольский квартал Отрада,Красногорск,,Красногорск г.о.,Комфорт,Отрада Девелопмент,ОТРАДА ВИЛЛАДЖ,2026-12-31,Удален,Монтажные и отделочные работы,в графике
активный,мониторинг,коттеджный пос. Братовщина,048d5096aedf822bec88b44cb7646e3a,Пушкино Град,коттеджный пос. Братовщина,,Пушкинский г.о.,Комфорт,ДЕЛО ,ДЕЛО,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Дубна,d0cfc21b23889b2bb2263f83c6dd1971,Бруно / BRUNO,Дубна,,Дубна г.о.,Комфорт,ВЭМЗ-ЭСТЕЙТ,ВЭМЗ-ЭСТЕЙТ,2026-12-31,В реализации,Работы нулевого цикла,в графике
активный,мониторинг,пгт Поварово,bf67ca4a399a0884f4a88cbcc3fd7b7c,Поварово Парк,пгт Поварово,,Солнечногорск г.о.,Эконом,Новый город,Новый город,2026-12-31,В реализации,Работы нулевого цикла,в графике
активный,мониторинг,Электросталь,efaf276f37c3f5868a665661dc275615,Северный квартал,Электросталь,,Электросталь г.о.,Эконом,Северный квартал ,Северный квартал,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Щёлково,3f5439473808c7ed49ff16a637213857,Пустовский,Щёлково,,Щёлково г.о.,Эконом,Веста,Веста-2001,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Пирогово дер.,8eaebc81c30edf2755ba437b24e98a69,Пироговская Ривьера,Пирогово дер.,,Мытищи г.о.,Комфорт,Rezidential Group,КомфортИнвест,2026-12-31,В реализации,Начало монтажных работ,в графике
активный,мониторинг,Бузланово дер.,f6d65c57495093794d9e798806ca4fda,Рига Хиллс / Riga Hills,Бузланово дер.,,Красногорск г.о.,Комфорт,UNION,ЯРКИЙ. РИГА,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Звенигород,a6e3d288fd2231684250c9a430937e49,Малиново,Звенигород,,Одинцовский г.о.,Комфорт,Основа,ИВЕСТСТРОЙ,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Котельники,df2f1b6592a5861a56d17f1d89e35817,Русич Котельники Парк,Котельники,,Котельники г.о.,Комфорт,РУСИЧ,НОВЫЕ КОТЕЛЬНИКИ,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Жуковский,45ff2729738f6bfac81e908d3e063d2f,Гранд Комфорт,Жуковский,,Жуковский г.о.,Комфорт,Зеленый сад,ЗЕЛЕНЫЙ САД - ПРЕМЬЕР,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Пушкино,7dbcf52f45094860a893d15f42c07fa9,Фабрикант,Пушкино,,Пушкинский г.о.,Комфорт,Профи-Инвест,Статус,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Химки,52a495047edda96e519bc03410c34067,Химки Тайм,Химки,,Химки г.о.,Комфорт,ГРАД,ГРАД ИНВЕСТ СХОДНЯ,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Пехорка дер.,4e0dd7c0759e1efc3e42fba0d6a1e7be,Дом в Малаховке,Пехорка дер.,,Люберцы г.о.,Комфорт,Карандаш,Маис,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Газопровод пос.,263657717a32b8005507c1c76e081d90,Ольховый квартал,Газопровод пос.,НАО,Коммунарка,Комфорт,Самолет,МИЦ-3,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Газопровод пос.,f646b29ae424f8a1ec05a574ae7f4903,Смарт Гарден / Smart Garden,Газопровод пос.,НАО,Коммунарка,Комфорт,Горакс,Горакс,2026-12-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Уссурийск,d14d1200f89dd30afaae68ab7a112860,Корсаков,Уссурийск,,Уссурийский г.о.,Комфорт,УЭС,УЭС,2027-03-01,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Большой Камень,fad4a04a5a8f5a52f9c528511e02c040,Престиж (Большой Камень),Большой Камень,,г.о. Большой Камень,Эконом,КВАРТАЛ-БК СЗ,КВАРТАЛ-БК СЗ,2027-03-11,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Казань,6c57df63b82a0cfd1f3dd94ea6e5eac7,Уникум на Проспекте Победы,Казань,,Советский,Комфорт,Унистрой,СТРОЙУСЛУГИ-2,2027-03-27,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Казань,a8614b433e560d7451dffea651aa1b93,Батталовский,Казань,,Приволжский,Комфорт,Суварстроит,СКАЗОЧНЫЙ ЛЕС-7,2027-03-30,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Сочи,ca393512a7926fea694d1233aa1b64af,Alean Resort Montvert,Сочи,Сочи г.о.,Сочи г.о.,Бизнес,Alean ,ЯКОРНАЯ ЩЕЛЬ,2027-03-31,Удален,Строительство не начато,в графике
активный,мониторинг,Тамань,18082a8dc54fc1d92036f82298474ddb,Лермонтов,Тамань,,Темрюк м.о.,Комфорт,Каскад,КАСКАД,2027-03-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Анапа,3b768d7a3423d87ca2500e86b3aa26e8,Мореград,Анапа,,Анапа м.о.,Комфорт,ССК,ГРАЖДАНСТРОЙАНАПА,2027-03-31,В реализации,Монтажные и отделочные работы,в графике
активный,мониторинг,Новороссийск,d83227169c3b10c28e16d938fe1747f2,Резиденция Морей,Новороссийск,,Новороссийск м.о.,Бизнес,ССК,ССК НОВОРОССИЙСК,2027-03-31,В реализации,Монтажные и отделочные работы,в графике
